Timestamp_Sec,DateTime_UTC,Network,NetworkID,Protocol,ArbID_Hex,ArbID_Dec,Is_Extended,Is_Tx,Is_Error,DLC,Data_Hex,B0,B1,B2,B3,B4,B5,B6,B7
607201147.198128,2026-03-29 18:59:07.198128,HSCAN3,44,CAN,0x030,48,0,0,0,3,C1 79 E0,0xC1,0x79,0xE0,,,,,
607201147.198350,2026-03-29 18:59:07.198350,HSCAN3,44,CAN,0x031,49,0,0,0,7,C1 00 B6 FF F1 20 00,0xC1,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.198464,2026-03-29 18:59:07.198464,HSCAN3,44,CAN,0x011,17,0,0,0,1,D0,0xD0,,,,,,,
607201147.198581,2026-03-29 18:59:07.198581,HSCAN3,44,CAN,0x010,16,0,0,0,1,D0,0xD0,,,,,,,
607201147.295054,2026-03-29 18:59:07.295054,HSCAN3,44,CAN,0x020,32,0,0,0,3,01 87 F0,0x01,0x87,0xF0,,,,,
607201147.296102,2026-03-29 18:59:07.296102,HSCAN3,44,CAN,0x021,33,0,0,0,8,01 10 9D 05 20 00 00 40,0x01,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.296346,2026-03-29 18:59:07.296346,HSCAN3,44,CAN,0x022,34,0,0,0,5,01 10 00 22 00,0x01,0x10,0x00,0x22,0x00,,,
607201147.296596,2026-03-29 18:59:07.296597,HSCAN3,44,CAN,0x023,35,0,0,0,8,01 00 00 00 00 00 00 00,0x01,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.296791,2026-03-29 18:59:07.296791,HSCAN3,44,CAN,0x024,36,0,0,0,5,01 00 00 00 00,0x01,0x00,0x00,0x00,0x00,,,
607201147.296943,2026-03-29 18:59:07.296943,HSCAN3,44,CAN,0x040,64,0,0,0,3,00 79 E0,0x00,0x79,0xE0,,,,,
607201147.297183,2026-03-29 18:59:07.297183,HSCAN3,44,CAN,0x041,65,0,0,0,7,01 00 F4 07 B6 03 00,0x01,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.297336,2026-03-29 18:59:07.297336,HSCAN3,44,CAN,0x030,48,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201147.297908,2026-03-29 18:59:07.297908,HSCAN3,44,CAN,0x031,49,0,0,0,7,01 00 B6 FF F1 20 00,0x01,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.298168,2026-03-29 18:59:07.298168,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.298321,2026-03-29 18:59:07.298321,HSCAN3,44,CAN,0x030,48,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201147.299013,2026-03-29 18:59:07.299013,HSCAN3,44,CAN,0x031,49,0,0,0,7,01 00 B6 FF F1 20 00,0x01,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.299129,2026-03-29 18:59:07.299129,HSCAN3,44,CAN,0x011,17,0,0,0,1,10,0x10,,,,,,,
607201147.299651,2026-03-29 18:59:07.299651,HSCAN3,44,CAN,0x010,16,0,0,0,1,10,0x10,,,,,,,
607201147.394613,2026-03-29 18:59:07.394613,HSCAN3,44,CAN,0x020,32,0,0,0,3,41 87 F0,0x41,0x87,0xF0,,,,,
607201147.394969,2026-03-29 18:59:07.394969,HSCAN3,44,CAN,0x021,33,0,0,0,8,41 10 9D 05 20 00 00 40,0x41,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.395169,2026-03-29 18:59:07.395169,HSCAN3,44,CAN,0x022,34,0,0,0,5,41 10 00 22 00,0x41,0x10,0x00,0x22,0x00,,,
607201147.395417,2026-03-29 18:59:07.395417,HSCAN3,44,CAN,0x023,35,0,0,0,8,41 00 00 00 00 00 00 00,0x41,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.395609,2026-03-29 18:59:07.395609,HSCAN3,44,CAN,0x024,36,0,0,0,5,41 00 00 00 00,0x41,0x00,0x00,0x00,0x00,,,
607201147.395762,2026-03-29 18:59:07.395762,HSCAN3,44,CAN,0x040,64,0,0,0,3,01 79 E0,0x01,0x79,0xE0,,,,,
607201147.395982,2026-03-29 18:59:07.395982,HSCAN3,44,CAN,0x041,65,0,0,0,7,41 00 F4 07 B6 03 00,0x41,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.396132,2026-03-29 18:59:07.396132,HSCAN3,44,CAN,0x030,48,0,0,0,3,41 79 E0,0x41,0x79,0xE0,,,,,
607201147.396354,2026-03-29 18:59:07.396354,HSCAN3,44,CAN,0x031,49,0,0,0,7,41 00 B6 FF F1 20 00,0x41,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.396589,2026-03-29 18:59:07.396589,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.396739,2026-03-29 18:59:07.396739,HSCAN3,44,CAN,0x030,48,0,0,0,3,41 79 E0,0x41,0x79,0xE0,,,,,
607201147.396961,2026-03-29 18:59:07.396961,HSCAN3,44,CAN,0x031,49,0,0,0,7,41 00 B6 FF F1 20 00,0x41,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.397075,2026-03-29 18:59:07.397075,HSCAN3,44,CAN,0x011,17,0,0,0,1,50,0x50,,,,,,,
607201147.397192,2026-03-29 18:59:07.397192,HSCAN3,44,CAN,0x010,16,0,0,0,1,50,0x50,,,,,,,
607201147.494739,2026-03-29 18:59:07.494739,HSCAN3,44,CAN,0x020,32,0,0,0,3,81 87 F0,0x81,0x87,0xF0,,,,,
607201147.494977,2026-03-29 18:59:07.494977,HSCAN3,44,CAN,0x021,33,0,0,0,8,81 10 9D 05 20 00 00 40,0x81,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.495166,2026-03-29 18:59:07.495166,HSCAN3,44,CAN,0x022,34,0,0,0,5,81 10 00 22 00,0x81,0x10,0x00,0x22,0x00,,,
607201147.495414,2026-03-29 18:59:07.495414,HSCAN3,44,CAN,0x023,35,0,0,0,8,81 00 00 00 00 00 00 00,0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.495606,2026-03-29 18:59:07.495606,HSCAN3,44,CAN,0x024,36,0,0,0,5,81 00 00 00 00,0x81,0x00,0x00,0x00,0x00,,,
607201147.495758,2026-03-29 18:59:07.495759,HSCAN3,44,CAN,0x040,64,0,0,0,3,02 79 E0,0x02,0x79,0xE0,,,,,
607201147.495979,2026-03-29 18:59:07.495979,HSCAN3,44,CAN,0x041,65,0,0,0,7,81 00 F4 07 B6 03 00,0x81,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.496131,2026-03-29 18:59:07.496131,HSCAN3,44,CAN,0x030,48,0,0,0,3,81 79 E0,0x81,0x79,0xE0,,,,,
607201147.496351,2026-03-29 18:59:07.496351,HSCAN3,44,CAN,0x031,49,0,0,0,7,81 00 B6 FF F1 20 00,0x81,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.496585,2026-03-29 18:59:07.496585,HSCAN3,44,CAN,0x014,20,0,0,0,8,15 81 44 47 D0 73 09 74,0x15,0x81,0x44,0x47,0xD0,0x73,0x09,0x74
607201147.496738,2026-03-29 18:59:07.496738,HSCAN3,44,CAN,0x030,48,0,0,0,3,81 79 E0,0x81,0x79,0xE0,,,,,
607201147.496958,2026-03-29 18:59:07.496958,HSCAN3,44,CAN,0x031,49,0,0,0,7,81 00 B6 FF F1 20 00,0x81,0x00,0xB6,0xFF,0xF1,0x20,0x00,
607201147.497078,2026-03-29 18:59:07.497078,HSCAN3,44,CAN,0x011,17,0,0,0,1,90,0x90,,,,,,,
607201147.497198,2026-03-29 18:59:07.497198,HSCAN3,44,CAN,0x010,16,0,0,0,1,90,0x90,,,,,,,
607201147.595368,2026-03-29 18:59:07.595368,HSCAN3,44,CAN,0x020,32,0,0,0,3,C1 87 F0,0xC1,0x87,0xF0,,,,,
607201147.595702,2026-03-29 18:59:07.595702,HSCAN3,44,CAN,0x021,33,0,0,0,8,C1 10 9D 05 20 00 00 40,0xC1,0x10,0x9D,0x05,0x20,0x00,0x00,0x40
607201147.596128,2026-03-29 18:59:07.596128,HSCAN3,44,CAN,0x022,34,0,0,0,5,C1 10 00 22 00,0xC1,0x10,0x00,0x22,0x00,,,
607201147.596376,2026-03-29 18:59:07.596376,HSCAN3,44,CAN,0x023,35,0,0,0,8,C1 00 00 00 00 00 00 00,0xC1,0x00,0x00,0x00,0x00,0x00,0x00,0x00
607201147.596569,2026-03-29 18:59:07.596569,HSCAN3,44,CAN,0x024,36,0,0,0,5,C1 00 00 00 00,0xC1,0x00,0x00,0x00,0x00,,,
607201147.596721,2026-03-29 18:59:07.596721,HSCAN3,44,CAN,0x040,64,0,0,0,3,03 79 E0,0x03,0x79,0xE0,,,,,
607201147.597057,2026-03-29 18:59:07.597057,HSCAN3,44,CAN,0x041,65,0,0,0,7,C1 00 F4 07 B6 03 00,0xC1,0x00,0xF4,0x07,0xB6,0x03,0x00,
607201147.597210,2026-03-29 18:59:07.597210,HSCAN3,44,CAN,0x030,48,0,0,0,3,C1 79 E0,0xC1,0x79,0xE0,,,,,
607201147.597820,2026-03-29 18:59:07.597820,HSCAN3,44,CAN,0x031,49,0,0,0,7,C1 00 B6 FF F1 20 00,0xC1,0x00,0xB6,0xFF,0xF1,0x20,0x00,
